ID,Yanlış Adres,Olması Gereken Adres,Hata Sebebi,Duplicate ID,Açık Adres,,,Bu şehirde çalışanlar(Maksimum 4 kişi)
428207,Yanlış Adres,Olması Gereken Adres,Örnek Veri,,,,,1 - 
79847,,,Kaynak yok,,,,,
547131,"https://www.google.com/maps/@36.486325,36.337965,22z",https://goo.gl/maps/mPEYPdgvHNjBHkfv9,Aynı adreste 9 pin (RT kaynaklı) - Tarif edilen adres yeri farklı (Haritadan doğrulandı),,,,,
544603,"https://www.google.com/maps/@36.486325,36.337965,22z",https://goo.gl/maps/mPEYPdgvHNjBHkfv9,Duplicate,,,,,
345435,"https://www.google.com/maps/@36.486325,36.337965,22z",https://goo.gl/maps/mPEYPdgvHNjBHkfv9,Duplicate,,,,,
344438,"https://www.google.com/maps/@36.486325,36.337965,22z",https://goo.gl/maps/mPEYPdgvHNjBHkfv9,Duplicate,,,,,
343068,"https://www.google.com/maps/@36.486325,36.337965,22z",https://goo.gl/maps/mPEYPdgvHNjBHkfv9,Duplicate,,,,,
338556,"https://www.google.com/maps/@36.486325,36.337965,22z",https://goo.gl/maps/mPEYPdgvHNjBHkfv9,Duplicate,,,,,
337015,"https://www.google.com/maps/@36.486325,36.337965,22z",https://goo.gl/maps/mPEYPdgvHNjBHkfv9,Duplicate,,,,,
344708,"https://www.google.com/maps/@36.486325,36.337965,22z",https://goo.gl/maps/mPEYPdgvHNjBHkfv9,Duplicate,,,,,
340661,"https://www.google.com/maps/@36.486325,36.337965,22z",https://goo.gl/maps/mPEYPdgvHNjBHkfv9,Duplicate,,,,,
41251,,,Kaynak yok,,,,,
102812,,,Kaynak yok,,,,,
103812,,,Yardım tweeti değil,,,,,
130417,"https://www.google.com/maps/@36.49673000000001,36.360703,22z",https://goo.gl/maps/kNZDMFPXsJidujoP6,Twitte belirtilen adres ile haritadaki adres farklı,,,,,
140823,"https://www.google.com/maps/@36.4907527,36.3663235,22z",https://goo.gl/maps/SRGiFzjYgF96dpzo6,Twitte belirtilen adres ile haritadaki adres farklı,,,,,
55189,,,Kaynak yok,,,,,
76670,,,Kaynak yok,,,,,
43268,,,Kaynak yok,,,,,
106859,,,Kaynak yok - Adres doğru,,,,,
55189,,,Kaynak yok,,,,,
342537,"https://www.google.com/maps/@36.5072028,36.3675019,22z",https://goo.gl/maps/xrgTNiHU74zarFvD8,Twitte belirtilen adres ile haritadaki adres farklı,,,,,
108246,,,Kaynak yok,,,,,
